"id","stateid","name","status","created_at","updated_at"
"956","27","Pratapgarh","1","2023-02-07 10:55:48","2023-02-07 10:55:48"
"957","27","Ghatol","1","2023-02-07 11:06:27","2023-02-07 11:06:27"
"958","27","Beawar","1","2023-02-07 11:10:33","2023-02-07 11:10:33"
"959","27","Chhoti Sadri","1","2023-02-07 11:12:07","2023-02-07 11:12:07"
"960","27","Lohariya","1","2023-02-07 11:12:32","2023-02-07 11:12:32"
"961","27","Jalrapatan","1","2023-02-07 11:12:55","2023-02-07 11:12:55"
"962","27","Jhotwara","1","2023-02-07 11:13:20","2023-02-07 11:13:20"
"963","27","Chitorgarh","1","2023-02-07 11:13:40","2023-02-07 11:13:40"
"964","27","Sri Ganganagar","1","2023-02-07 11:50:15","2023-02-07 11:50:41"
"965","27","Kherwara","1","2023-02-07 11:51:14","2023-02-07 11:51:14"
"966","27","Banswara","1","2023-02-07 11:51:38","2023-02-07 11:51:38"
"967","27","Kotputli","1","2023-02-07 11:55:07","2023-02-07 11:55:07"
"968","27","Ramganj Mandi","1","2023-02-07 11:55:28","2023-02-07 11:55:28"
"969","27","Bundi","1","2023-02-07 11:55:41","2023-02-07 11:55:41"
"970","27","Baran","1","2023-02-07 12:05:12","2023-02-07 12:05:12"
"971","27","Hanumangarh","1","2023-02-07 12:05:45","2023-02-07 12:05:45"
"972","27","Bikaner","1","2023-02-07 12:06:08","2023-02-07 12:06:08"
"973","27","Balotra","1","2023-02-07 12:06:25","2023-02-07 12:06:25"
"974","27","Partapur","1","2023-02-07 12:21:35","2023-02-07 12:21:35"
"975","27","Neem Ka Thana","1","2023-02-07 12:22:04","2023-02-07 12:22:04"
"976","27","Nimbahera","1","2023-02-07 12:22:31","2023-02-07 12:22:31"
"977","27","Rajgarh","1","2023-02-07 12:23:25","2023-02-07 12:23:25"
"978","27","Sayla","1","2023-02-07 12:23:42","2023-02-07 12:23:42"
"979","27","Sujangarh","1","2023-02-07 12:24:04","2023-02-07 12:24:04"
"980","27","Barmer","1","2023-02-07 12:24:28","2023-02-07 12:24:28"
"981","27","Chomu","1","2023-02-07 12:24:48","2023-02-07 12:24:48"
"982","27","Kankaroli","1","2023-02-07 12:50:18","2023-02-07 12:50:18"
"983","27","Mahwa","1","2023-02-07 12:50:55","2023-02-07 12:50:55"
"984","27","Dholpur","1","2023-02-08 04:29:39","2023-02-08 04:29:39"
"985","27","Dausa","1","2023-02-08 04:30:00","2023-02-08 04:30:00"
"986","27","Fatehpur Shekhawati","1","2023-02-08 04:31:37","2023-02-08 04:31:37"
"987","27","Sawai Madhopur","1","2023-02-08 04:31:51","2023-02-08 04:31:51"
"988","27","Churu","1","2023-02-08 04:32:18","2023-02-08 04:32:18"
"989","27","Palsana","1","2023-02-08 04:32:48","2023-02-08 04:32:48"
"990","27","kishangarh","1","2023-02-08 04:33:18","2023-02-08 04:33:18"
"991","27","Chitri","1","2023-02-08 04:34:24","2023-02-08 04:34:24"
"992","27","Pushkar","1","2023-02-08 04:36:23","2023-02-08 04:36:23"
"993","27","Galiyakot","1","2023-02-08 04:36:52","2023-02-08 04:36:52"
"994","27","Sagwara","1","2023-02-08 04:37:19","2023-02-08 04:37:19"
"995","27","Dhariawad","1","2023-02-08 04:37:41","2023-02-08 04:37:41"
"996","27","Bhiwadi","1","2023-02-08 04:38:23","2023-02-08 04:38:23"
"997","27","Tonk","1","2023-02-08 04:38:47","2023-02-08 04:38:47"
"998","27","Jhunjhunu","1","2023-02-08 05:00:14","2023-02-08 05:00:14"
"999","27","Jalore","1","2023-02-15 06:39:59","2023-02-15 06:39:59"
"1002","14","Solan","1","2023-02-22 07:05:37","2023-02-22 07:05:37"
"1003","14","Kotkhai","1","2023-02-23 04:42:49","2023-02-23 04:42:49"
"1004","34","Barddhaman","1","2023-04-11 05:00:17","2023-04-11 05:00:17"
"1005","34","Habra","1","2023-04-11 05:03:22","2023-04-11 05:03:22"
"1006","34","Malda","1","2023-04-11 05:03:41","2023-04-11 05:03:41"
"1007","34","Bolpur","1","2023-04-11 05:04:28","2023-04-11 05:04:28"
"1008","34","Chowranghee","1","2023-04-11 05:06:51","2023-04-11 05:06:51"
"1009","34","Raiganj","1","2023-04-11 05:07:13","2023-04-11 05:07:13"
"1010","34","Dum Dum","1","2023-04-11 05:07:37","2023-04-11 05:07:37"
"1011","34","Rupnarayanpur","1","2023-04-11 05:07:57","2023-04-11 05:07:57"
"1012","34","Baruipur","1","2023-04-11 05:08:15","2023-04-11 05:08:15"
"1013","34","Sainthia","1","2023-04-11 05:08:42","2023-04-11 05:08:42"
"1014","34","Tarakeswar","1","2023-04-11 05:09:33","2023-04-11 05:09:33"
"1015","34","Kakdwip","1","2023-04-11 05:09:57","2023-04-11 05:09:57"
"1016","34","Ranaghat","1","2023-04-11 05:10:29","2023-04-11 05:10:29"
"1017","34","Bongaon","1","2023-04-11 05:10:49","2023-04-11 05:10:49"
"1018","34","Bibirhat","1","2023-04-11 05:11:15","2023-04-11 05:11:15"
"1019","34","Kanchrapara","1","2023-04-11 05:11:37","2023-04-11 05:11:37"
"1020","34","Port Blair","1","2023-04-11 05:12:59","2023-04-11 05:27:36"
"1021","34","Jiaganj","1","2023-04-11 05:13:15","2023-04-11 05:29:35"
"1022","34","Burdwan","1","2023-04-11 05:13:36","2023-04-11 05:13:36"
"1023","34","Balurghat","1","2023-04-11 05:14:03","2023-04-11 05:14:03"
"1024","34","Serampore","1","2023-04-11 05:14:33","2023-04-11 05:14:33"
"1025","34","Barrackpur","1","2023-04-11 05:14:56","2023-04-11 05:14:56"
"1026","34","Chunchura","1","2023-04-11 05:15:11","2023-04-11 05:15:11"
"1027","34","Berhampur","1","2023-04-11 05:15:31","2023-04-11 05:15:31"
"1028","34","Naihati","1","2023-04-11 05:15:46","2023-04-11 05:19:28"
"1029","34","Krishnanagar","1","2023-04-11 05:15:59","2023-04-11 05:15:59"
"1030","34","English Bazar","1","2023-04-11 05:16:10","2023-04-11 05:16:10"
"1031","34","Nabadwip","1","2023-04-11 05:16:24","2023-04-11 05:16:24"
"1032","34","Baliadanga","1","2023-04-11 05:20:08","2023-04-11 05:20:08"
"1033","34","Shyamnagar","1","2023-04-11 05:21:07","2023-04-11 05:21:07"
"1034","34","Babupur","1","2023-04-11 05:21:40","2023-04-11 05:21:40"
"1035","34","South Andaman","1","2023-04-11 05:22:12","2023-04-11 05:22:12"
"1036","34","Arambagh","1","2023-04-11 05:22:43","2023-04-11 05:22:43"
"1037","34","Sreerampur","1","2023-04-11 05:23:33","2023-04-11 05:23:33"
"1038","34","Madhyamgram","1","2023-04-11 05:23:57","2023-04-11 05:23:57"
"1039","34","Beleghata","1","2023-04-11 05:24:19","2023-04-11 05:24:19"
"1040","34","Nalhati","1","2023-04-11 05:25:34","2023-04-11 05:25:34"
"1041","34","Durgapur Purba","1","2023-04-11 05:25:51","2023-04-11 05:25:51"
"1042","34","Neamatpur","1","2023-04-11 05:26:03","2023-04-11 05:26:03"
"1043","34","Khanakul","1","2023-04-11 05:26:21","2023-04-11 05:26:21"
"1044","34","Panihati","1","2023-04-11 05:27:56","2023-04-11 05:27:56"
"1045","34","Ukra","1","2023-04-11 05:32:37","2023-04-11 05:32:37"
"1046","34","Kaliyaganj","1","2023-04-11 05:32:49","2023-04-11 05:32:49"
"1047","34","Bhangar","1","2023-04-11 05:33:30","2023-04-11 05:33:30"
"1048","34","Baranagar","1","2023-04-11 05:34:17","2023-04-11 05:34:17"
"1050","34","Dalkhola","1","2023-04-11 05:35:04","2023-04-11 05:35:04"
"1051","34","Jaigaon","1","2023-04-11 05:35:34","2023-04-11 05:35:34"
"1052","34","Falakata","1","2023-04-11 05:36:00","2023-04-11 05:36:00"
"1053","34","Dinhatta","1","2023-04-11 05:36:24","2023-04-11 05:36:24"
"1054","34","Sikkim","1","2023-04-11 05:36:44","2023-04-11 05:36:44"
"1055","34","Coochbehar","1","2023-04-11 05:36:55","2023-04-11 05:36:55"
"1056","34","Tufanganj","1","2023-04-11 05:37:12","2023-04-11 05:37:12"
"1057","34","Alipurduar","1","2023-04-11 05:37:22","2023-04-11 05:37:22"
"1058","34","Jalpaiguri","1","2023-04-11 05:37:40","2023-04-11 05:37:40"
"1059","34","Islampur","1","2023-04-11 05:38:10","2023-04-11 05:38:10"
"1060","34","Cooch Behar (Dakshin)","1","2023-04-11 05:38:33","2023-04-11 05:38:33"
"1061","34","Kalimpong","1","2023-04-11 05:39:13","2023-04-11 05:39:13"
"1063","34","Ramsagar","1","2023-04-11 05:39:50","2023-04-11 05:39:50"
"1064","34","Chandrakona","1","2023-04-11 05:40:23","2023-04-11 05:40:23"
"1065","34","Contai","1","2023-04-11 05:40:43","2023-04-11 05:40:43"
"1066","34","Panskura","1","2023-04-11 05:41:04","2023-04-11 05:41:04"
"1067","34","Kathjuridanga","1","2023-04-11 05:41:15","2023-04-11 05:41:15"
"1068","34","Haldia","1","2023-04-11 05:41:26","2023-04-11 05:41:26"
"1069","34","Mecheda","1","2023-04-11 05:41:41","2023-04-11 05:41:41"
"1070","34","Shyamsunderpur","1","2023-04-11 05:42:46","2023-04-11 05:42:46"
"1071","34","Mindnapore","1","2023-04-11 05:43:11","2023-04-11 05:43:11"
"1072","34","Purulia","1","2023-04-11 05:43:33","2023-04-11 05:43:33"
"1073","34","Ghatal","1","2023-04-11 05:43:59","2023-04-11 05:43:59"
"1074","34","Baghmundi","1","2023-04-11 05:44:40","2023-04-11 05:44:40"
"1075","34","Bankura","1","2023-04-11 05:45:01","2023-04-11 05:45:01"
"1076","34","Salboni","1","2023-04-11 05:45:33","2023-04-11 05:45:33"
"1077","33","Roorkee","1","2023-04-11 05:47:40","2023-04-11 05:47:40"
"1078","33","Jwalapur","1","2023-04-11 05:48:30","2023-04-11 05:48:30"
"1079","33","Khatima","1","2023-04-11 05:49:05","2023-04-11 05:49:05"
"1080","33","Bajpur","1","2023-04-11 05:50:22","2023-04-11 05:50:22"
"1081","32","Modinagar","1","2023-04-11 05:52:42","2023-04-11 05:52:42"
