"id","category_id","product_name","sku","alias","product_description","product_specs","product_size","product_thickness","product_ply","product_id","price","weight","sale_price","s_start_date","s_end_date","sp_status","thumb_image","big_image","himage","pdf","seo_title","seo_keywords","seo_description","p_quantity","status","cdate","ordering","p_color","related_product","product_life","NewArrivals","Exclusive","Promotion","AmazingOffers","popular","short_desc","additional_information","neworold"
"482","39","White Ash","NV-B88","white-ash",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-B88-White-Ash.jpg","NV-B88-White-Ash.jpg",,,"White Ash","White Ash","White Ash","0","1","0000-00-00 00:00:00","9",,,"1","0","0","0","0","0","0","0","1"
"483","41","Mahagony Crotch",NULL,"mahagony-crotch",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Mahagony-Crotch.jpg","Mahagony-Crotch.jpg",,,"Mahagony Crotch","Mahagony Crotch","Mahagony Crotch","0","2","0000-00-00 00:00:00","1",,,"1","0","0","0","0","0","0","0","1"
"484","41","Teak Crotch","NV-345","teak-crotch",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-345-teak-crotch.jpg","NV-345-teak-crotch.jpg",,,"Teak Crotch","Teak Crotch","Teak Crotch","0","1","0000-00-00 00:00:00","2",,,"1","0","0","0","0","0","0","0","1"
"485","41","Gabon Wood Crotch","NV-B63","gabon-wood-crotch",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","NV-B63-Gabon-Wood-Crotch.jpg","NV-B63-Gabon-Wood-Crotch.jpg",,,"Gabon Wood Crotch","Gabon Wood Crotch","Gabon Wood Crotch","0","1","0000-00-00 00:00:00","3",,,"1","0","0","0","0","0","0","0","1"
"504","45","Cappuccino Streaks","F848","cappuccino-streaks",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Cappuccino-Streaks-F848.jpg","Cappuccino-Streaks-F848.jpg",,,"Cappuccino Streaks","Cappuccino Streaks","Cappuccino Streaks","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"505","45","Golden Teak","F779","golden-teak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Golden-Teak-F779.jpg","Golden-Teak-F779.jpg",,,"Golden Teak","Golden Teak","Golden Teak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"506","45","Honey Streaks","T862","honey-streaks",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Honey-Streaks-T862.jpg","Honey-Streaks-T862.jpg",,,"Honey Streaks","Honey Streaks","Honey Streaks","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"507","45","Teak Rails","T873","teak-rails",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Teak-Rails-T873.jpg","Teak-Rails-T873.jpg",,,"Teak Rails","Teak Rails","Teak Rails","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"508","45","Caramel Bars","T865","caramel-bars",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Caramel-Bars-T865.jpg","Caramel-Bars-T865.jpg",,,"Caramel Bars","Caramel Bars","Caramel Bars","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"509","45","Blonde Streaks","T861","blonde-streaks",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Blonde-Streaks-T861.jpg","Blonde-Streaks-T861.jpg",,,"Blonde Streaks","Blonde Streaks","Blonde Streaks","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"510","45","Bronzed Stains","T851","bronzed-stains",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Bronzed-Stains-T851.jpg","Bronzed-Stains-T851.jpg",,,"Bronzed Stains","Bronzed Stains","Bronzed Stains","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
