,State,document_id,Location,Brand,Product ,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,Sainik MR,Plywood,8,8,4,1462,100,1562,281.24,1844,87,19,1562,0,24401220,8,18,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,Sainik MR,Plywood,12,8,4,1791,100,1891,340.4,2232,88,19,1891,0,24401220,12,18,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,Sainik MR,Plywood,15,8,4,2259,100,2359,424.54,2783,89,19,2359,0,24401220,15,18,1,2,0,1,17,0000-00-00 00:00:00
,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,Sainik MR,Plywood,18,8,4,2530,100,2630,473.39,3103,90,19,2630,0,24401220,18,18,1,2,0,1,17,0000-00-00 00:00:00
,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,91,19,1279,0,24401220,6,19,1,2,0,1,19,0000-00-00 00:00:00
,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,92,19,1524,0,24401220,8,19,1,2,0,1,19,0000-00-00 00:00:00
,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,93,19,1739,0,24401220,12,19,1,2,0,1,19,0000-00-00 00:00:00
,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,94,19,2235,0,24401220,15,19,1,2,0,1,19,0000-00-00 00:00:00
,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,95,19,2569,0,24401220,18,19,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Coimbator,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,96,19,1279,0,24401220,6,20,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Coimbator,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,97,19,1524,0,24401220,8,20,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Coimbator,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,98,19,1739,0,24401220,12,20,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Coimbator,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,99,19,2235,0,24401220,15,20,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Coimbator,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,100,19,2569,0,24401220,18,20,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Madurai,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,101,19,1279,0,24401220,6,21,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Madurai,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,102,19,1524,0,24401220,8,21,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Madurai,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,103,19,1739,0,24401220,12,21,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Madurai,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,104,19,2235,0,24401220,15,21,1,2,0,1,19,0000-00-00 00:00:00
,TN2,ylgwnbiuuig4fjfcdrbricuw,Madurai,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,105,19,2569,0,24401220,18,21,1,2,0,1,19,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Banglore,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,106,19,1279,0,24401220,6,22,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Banglore,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,107,19,1524,0,24401220,8,22,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Banglore,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,108,19,1739,0,24401220,12,22,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Banglore,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,109,19,2235,0,24401220,15,22,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Banglore,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,110,19,2569,0,24401220,18,22,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Hubli,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,111,19,1279,0,24401220,6,23,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Hubli,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,112,19,1524,0,24401220,8,23,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Hubli,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,113,19,1739,0,24401220,12,23,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Hubli,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,114,19,2235,0,24401220,15,23,1,2,0,1,22,0000-00-00 00:00:00
,Karnataka,c37mostb25wv2y1gla7gk1ep,Hubli,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,115,19,2569,0,24401220,18,23,1,2,0,1,22,0000-00-00 00:00:00
,Telangana,v4q72ukaz5mnoibi04mig983,Hyderabad,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,116,19,1279,0,24401220,6,24,1,2,0,1,24,0000-00-00 00:00:00
