Zone,State,document_id,Location,product,category,,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
North,Maharashtra,ovhhwugrqp35xqou86kot42j,Indore,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2277,100,2377,427.94,2805,32,2,2377,0,24401220,9,7,1,2,0,1,7,0000-00-00 00:00:00
North,Maharashtra,ovhhwugrqp35xqou86kot42j,Indore,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2907,100,3007,541.34,3549,33,2,3007,0,24401220,12,7,1,2,0,1,7,0000-00-00 00:00:00
North,Maharashtra,ovhhwugrqp35xqou86kot42j,Indore,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3608,100,3708,667.51,4376,34,2,3708,0,24401220,16,7,1,2,0,1,7,0000-00-00 00:00:00
North,Maharashtra,ovhhwugrqp35xqou86kot42j,Indore,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4185,100,4285,771.33,5056,35,2,4285,0,24401220,19,7,1,2,0,1,7,0000-00-00 00:00:00
EAST,West Bengal,d6s4jrgh54b9hnih195ytey3,KOLKATA,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1869,100,1969,354.47,2324,36,2,1969,0,24401220,6,8,1,2,0,1,8,0000-00-00 00:00:00
EAST,West Bengal,d6s4jrgh54b9hnih195ytey3,KOLKATA,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2257,100,2357,424.21,2781,37,2,2357,0,24401220,9,8,1,2,0,1,8,0000-00-00 00:00:00
EAST,West Bengal,d6s4jrgh54b9hnih195ytey3,KOLKATA,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2887,100,2987,537.61,3524,38,2,2987,0,24401220,12,8,1,2,0,1,8,0000-00-00 00:00:00
EAST,West Bengal,d6s4jrgh54b9hnih195ytey3,KOLKATA,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3564,100,3664,659.52,4324,39,2,3664,0,24401220,16,8,1,2,0,1,8,0000-00-00 00:00:00
EAST,West Bengal,d6s4jrgh54b9hnih195ytey3,KOLKATA,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4129,100,4229,761.21,4990,40,2,4229,0,24401220,19,8,1,2,0,1,8,0000-00-00 00:00:00
EAST,Assam,mjrnp3xl3jt7cj3d4tyfbp2v,Guwahati,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1869,100,1969,354.47,2324,41,2,1969,0,24401220,6,9,1,2,0,1,9,0000-00-00 00:00:00
EAST,Assam,mjrnp3xl3jt7cj3d4tyfbp2v,Guwahati,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2257,100,2357,424.21,2781,42,2,2357,0,24401220,9,9,1,2,0,1,9,0000-00-00 00:00:00
