product_id,Kolkata,BBSR,Guwahati,Mumbai,Patna,Ranchi,Raipur,Lucknow,Indore,Nagpur,Pune,Bangalore,Hubli,Goa,Hyderabad,Gujarat,Chennai,Coimbatore,Kochi,Delhi,Gurgaon,Haryana,Ghaziabad,Ludhiana,Rajasthan,Uttarakhand
x0yjxzcri8ebrvr1oe0zosqh,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
xouc5y5jux361d9gwyj6zxf4,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
ivhf8jraaiy0bno6j1h1rbr2,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
vfoge71el1aav98x0ty0yw1v,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
wxurabk3938e8736vb2r8utc,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
zm6va4nehqu6vjrcst38ck6x,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
yi9v24kvgs5z0a7t5sbyfwzc,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
sntyl43kufdbmri6suahcdjx,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
oidscuhq5c13yom1szsn3zd8,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
e0fnmscmj0fquaxnnwerf6n8,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
